PROVINCIA,DIA,HORA,FERIADO,CAUSA_PROBABLE,CLASE_FINAL,ZONA,TIPO_DE_VEHICULO_1,SERVICIO_1,EDAD_1,SEXO_1,CONDICION_1,PARTICIPANTE_1
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P04,SI,CP13,PERDIDA DE CARRIL,RURAL,CAMION,PARTICULAR,50.0,HOMBRE,LESIONADO,CONDUCTOR
EL ORO,MIERCOLES,P07,SI,CP13,PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,48.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P10,SI,CP17,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P12,SI,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P02,SI,CP13,ARROLLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,MIERCOLES,P03,SI,CP13,PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,P13,SI,CP11,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,48.0,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,MIERCOLES,P08,SI,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P01,SI,CP13,ESTRELLAMIENTOS,RURAL,CAMIONETA,PARTICULAR,68.0,HOMBRE,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P14,SI,CP11,CHOQUE POSTERIOR,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,P09,SI,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,27.0,HOMBRE,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,P17,SI,CP13,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,54.0,HOMBRE,ILESO,CONDUCTOR
SANTA ELENA,MIERCOLES,P09,SI,CP17,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P03,SI,CP13,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,P09,SI,CP11,CHOQUE POSTERIOR,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,MIERCOLES,P15,SI,CP17,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P19,SI,CP13,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P17,SI,CP13,PERDIDA DE CARRIL,RURAL,BUS,PARTICULAR,-1.0,NO IDENTIFICADO,FALLECIDO,PASAJERO
MANABI,MIERCOLES,P14,SI,CP22,CHOQUE LATERAL,RURAL,AUTOMOVIL,PARTICULAR,41.0,MUJER,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P19,SI,CP17,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
LOS RIOS,MIERCOLES,P21,SI,CP13,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P16,SI,CP13,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,P10,SI,CP16,CAIDA DE PASAJERO,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P18,SI,CP13,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P19,SI,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,P13,SI,CP13,PERDIDA DE CARRIL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P21,SI,CP13,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P19,SI,CP17,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P18,SI,CP13,PERDIDA DE CARRIL,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P17,SI,CP16,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P05,SI,CP11,CHOQUE POSTERIOR,RURAL,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P16,SI,CP22,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,25.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P02,SI,CP09,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P00,SI,CP17,CHOQUE FRONTAL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P02,SI,CP09,ATROPELLOS,URBANA,CAMION,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P04,SI,CP22,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,19.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P05,SI,CP06,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P05,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P05,SI,CP09,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,SI,CP09,PERDIDA DE CARRIL,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P04,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,SI,CP09,ESTRELLAMIENTOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,MUJER,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P08,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,COMERCIAL,24.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P05,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,36.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P08,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P10,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,25.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P10,SI,CP18,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,24.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P10,SI,CP09,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP06,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,33.0,MUJER,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,39.0,MUJER,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP09,PERDIDA DE CARRIL,URBANA,NO IDENTIFICADO,PARTICULAR,41.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP06,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,39.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P09,SI,CP09,VOLCAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,29.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P13,SI,CP06,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,25.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P07,SI,CP09,ESTRELLAMIENTOS,URBANA,BUS,PUBLICO,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P15,SI,CP12,ROZAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P15,SI,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P12,SI,CP12,ROZAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,36.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P17,SI,CP06,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P06,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P18,SI,CP09,CAIDA DE PASAJERO,URBANA,BUS,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P16,SI,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,48.0,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,P19,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,P17,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,30.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P20,SI,CP09,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,P22,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P02,SI,CP13,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,MUJER,LESIONADO,PASAJERO
LOJA,MIERCOLES,P07,SI,CP13,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
ESMERALDAS,MIERCOLES,P09,SI,CP13,ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,MUJER,LESIONADO,PEATON
MORONA SANTIAGO,MIERCOLES,P14,SI,CP13,ESTRELLAMIENTOS,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,P06,SI,CP06,PERDIDA DE CARRIL,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,53.0,HOMBRE,FALLECIDO,CONDUCTOR
ORELLANA,MIERCOLES,P21,SI,CP15,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,63.0,HOMBRE,FALLECIDO,PEATON
MORONA SANTIAGO,MIERCOLES,P14,SI,CP15,ATROPELLOS,RURAL,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
ESMERALDAS,MIERCOLES,P14,SI,CP13,PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,30.0,HOMBRE,FALLECIDO,CONDUCTOR
ESMERALDAS,MIERCOLES,P14,SI,CP13,CHOQUE LATERAL,RURAL,AUTOMOVIL,COMERCIAL,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,P21,SI,CP15,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,HOMBRE,FALLECIDO,PEATON
CHIMBORAZO,MIERCOLES,P01,SI,CP09,ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P21,SI,CP06,CHOQUE FRONTAL,RURAL,AUTOMOVIL,PARTICULAR,35.0,HOMBRE,ILESO,CONDUCTOR
ZAMORA CHINCHIPE,MIERCOLES,P21,SI,CP13,PERDIDA DE CARRIL,RURAL,CAMION,PARTICULAR,23.0,HOMBRE,LESIONADO,CONDUCTOR
LOS RIOS,MIERCOLES,P18,SI,CP13,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,39.0,HOMBRE,LESIONADO,CONDUCTOR
PICHINCHA,MIERCOLES,P01,SI,CP13,ESTRELLAMIENTOS,URBANA,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,39.0,HOMBRE,ILESO,CONDUCTOR
MORONA SANTIAGO,MIERCOLES,P01,SI,CP06,CHOQUE FRONTAL,URBANA,AUTOMOVIL,PARTICULAR,33.0,HOMBRE,ILESO,CONDUCTOR
BOLIVAR,MIERCOLES,P07,SI,CP06,ROZAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,29.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P01,SI,CP13,ESTRELLAMIENTOS,RURAL,CAMION,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
PASTAZA,MIERCOLES,P20,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
ZAMORA CHINCHIPE,MIERCOLES,P16,SI,CP10,PERDIDA DE CARRIL,RURAL,NO IDENTIFICADO,PARTICULAR,45.0,HOMBRE,FALLECIDO,CONDUCTOR
CHIMBORAZO,MIERCOLES,P21,SI,CP13,CHOQUE POSTERIOR,RURAL,AUTOMOVIL,PARTICULAR,26.0,HOMBRE,ILESO,CONDUCTOR
CARCHI,MIERCOLES,P01,SI,CP13,CHOQUE LATERAL,URBANA,AUTOMOVIL,COMERCIAL,36.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P02,SI,CP09,COLISION,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,NO IDENTIFICADO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P14,SI,CP10,ATROPELLOS,RURAL,CAMION,COMERCIAL,-1.0,MUJER,LESIONADO,PEATON
PICHINCHA,MIERCOLES,P08,SI,CP13,PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,28.0,HOMBRE,ILESO,CONDUCTOR
MANABI,MIERCOLES,P07,SI,CP13,CHOQUE LATERAL,RURAL,NO IDENTIFICADO,PARTICULAR,43.0,HOMBRE,ILESO,CONDUCTOR
LOJA,MIERCOLES,P22,SI,CP13,CHOQUE POSTERIOR,RURAL,CAMION,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
BOLIVAR,MIERCOLES,P19,SI,CP13,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,HOMBRE,LESIONADO,CONDUCTOR
IMBABURA,MIERCOLES,P17,SI,CP09,PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,32.0,HOMBRE,LESIONADO,CONDUCTOR
ESMERALDAS,MIERCOLES,P21,SI,CP09,ARROLLAMIENTOS,RURAL,MOTOCICLETA,PARTICULAR,49.0,MUJER,LESIONADO,PEATON
ESMERALDAS,MIERCOLES,P12,SI,CP09,ATROPELLOS,RURAL,MOTOCICLETA,PARTICULAR,3.0,HOMBRE,LESIONADO,PEATON
IMBABURA,MIERCOLES,P08,SI,CP13,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
ESMERALDAS,MIERCOLES,P14,SI,CP09,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,30.0,HOMBRE,FALLECIDO,CONDUCTOR
LOJA,MIERCOLES,P00,SI,CP24,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,20.0,MUJER,LESIONADO,PASAJERO
LOJA,MIERCOLES,P06,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,45.0,HOMBRE,ILESO,CONDUCTOR
LOJA,MIERCOLES,P07,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
LOJA,MIERCOLES,P02,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
LOJA,MIERCOLES,P17,SI,CP09,ESTRELLAMIENTOS,URBANA,CAMIONETA,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P01,SI,CP06,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,29.0,MUJER,LESIONADO,PEATON
TUNGURAHUA,MIERCOLES,P20,SI,CP06,CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,53.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P05,SI,CP06,ESTRELLAMIENTOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P21,SI,CP17,CHOQUE LATERAL,RURAL,AUTOMOVIL,PARTICULAR,33.0,HOMBRE,ILESO,CONDUCTOR
TUNGURAHUA,MIERCOLES,P05,SI,CP06,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P19,SI,CP13,VOLCAMIENTOS,URBANA,NO IDENTIFICADO,PARTICULAR,27.0,HOMBRE,LESIONADO,PASAJERO
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P02,SI,CP25,ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,35.0,MUJER,LESIONADO,PEATON
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P00,SI,CP25,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,52.0,MUJER,LESIONADO,PEATON
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P06,SI,CP13,ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,47.0,HOMBRE,LESIONADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P12,SI,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P04,SI,CP13,ESTRELLAMIENTOS,URBANA,CAMIONETA,PARTICULAR,47.0,HOMBRE,LESIONADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,P07,SI,CP13,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P06,SI,CP22,ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P13,SI,CP04,ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P16,SI,CP02,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,56.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MIERCOLES,P18,SI,CP02,ESTRELLAMIENTOS,RURAL,CAMIONETA,PARTICULAR,13.0,MUJER,LESIONADO,PEATON
PICHINCHA,MIERCOLES,P08,SI,CP10,ESTRELLAMIENTOS,RURAL,CAMIONETA,PARTICULAR,49.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MIERCOLES,P01,SI,CP22,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P08,SI,CP04,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P16,SI,CP09,CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,29.0,HOMBRE,ILESO,CONDUCTOR
PICHINCHA,MIERCOLES,P07,SI,CP09,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P02,SI,CP11,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,18.0,MUJER,LESIONADO,PASAJERO
PICHINCHA,MIERCOLES,P06,SI,CP09,ATROPELLOS,URBANA,AUTOMOVIL,COMERCIAL,65.0,HOMBRE,LESIONADO,CONDUCTOR
PICHINCHA,MIERCOLES,P06,SI,CP09,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
PICHINCHA,MIERCOLES,P13,SI,CP07,ATROPELLOS,URBANA,AUTOMOVIL,ESTADO,27.0,HOMBRE,LESIONADO,PEATON
PICHINCHA,MIERCOLES,P06,SI,CP22,ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,28.0,MUJER,LESIONADO,PEATON
PICHINCHA,MIERCOLES,P06,SI,CP09,ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,-1.0,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
