PROVINCIA,DIA,HORA,FERIADO,CAUSA PROBABLE,CLASE FINAL,ZONA,TIPO DE VEHÍCULO 1,SERVICIO 1,EDAD 1,SEXO 1,CONDICIÓN 1,PARTICIPANTE 1
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,04:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,CAMION,PARTICULAR,50,HOMBRE,LESIONADO,CONDUCTOR
EL ORO,MIERCOLES,07:20:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,48,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,10:30:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,12:30:00,SI,BAJARSE O SUBIRSE DE VEHICULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDA.,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,02:01:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ARROLLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,MIERCOLES,03:40:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,MOTOCICLETA,PARTICULAR,-1,HOMBRE,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,13:40:00,SI,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHICULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,48,HOMBRE,ILESO,CONDUCTOR
LOS RIOS,MIERCOLES,08:10:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,01:30:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,RURAL,CAMIONETA,PARTICULAR,68,HOMBRE,ILESO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,14:00:00,SI,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHICULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,09:40:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,AUTOMOVIL,PARTICULAR,27,HOMBRE,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,17:20:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,AUTOMOVIL,PARTICULAR,54,HOMBRE,ILESO,CONDUCTOR
SANTA ELENA,MIERCOLES,09:45:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,03:40:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,09:00:00,SI,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHICULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
AZUAY,MIERCOLES,15:08:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1,NO IDENTIFICADO,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,19:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,17:15:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,BUS,PARTICULAR,-1,NO IDENTIFICADO,FALLECIDO,PASAJERO
MANABI,MIERCOLES,14:15:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,RURAL,AUTOMOVIL,PARTICULAR,41,MUJER,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,19:45:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
LOS RIOS,MIERCOLES,21:10:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,16:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTA ELENA,MIERCOLES,10:00:00,SI,BAJARSE O SUBIRSE DE VEHICULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDA.,CAIDA DE PASAJERO,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,18:30:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,19:20:00,SI,BAJARSE O SUBIRSE DE VEHICULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDA.,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,13:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,CAMIONETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,21:30:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,19:40:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,RURAL,CAMIONETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,18:45:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,17:30:00,SI,BAJARSE O SUBIRSE DE VEHICULOS EN MOVIMIENTO SIN TOMAR LAS PRECAUCIONES DEBIDA.,CAIDA DE PASAJERO,RURAL,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
SANTO DOMINGO DE LOS TSACHILAS,MIERCOLES,05:50:00,SI,NO MANTENER LA DISTANCIA PRUDENCIAL CON RESPECTO AL VEHICULO QUE LE ANTECEDE.,CHOQUE POSTERIOR,RURAL,AUTOMOVIL,PARTICULAR,-1,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,16:00:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,RURAL,CAMIONETA,PARTICULAR,25,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,02:10:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,00:50:00,SI,CONDUCIR EN SENTIDO CONTRARIO A LA VIA NORMAL DE CIRCULACION.,CHOQUE FRONTAL,URBANA,AUTOMOVIL,PARTICULAR,-1,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,02:42:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ATROPELLOS,URBANA,CAMION,PARTICULAR,-1,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,04:00:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,19,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,05:30:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,05:36:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,05:35:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,06:45:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,04:40:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,06:00:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,MUJER,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,06:50:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,06:20:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,08:40:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,07:00:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,07:59:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,COMERCIAL,24,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,05:40:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,36,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,08:20:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,09:25:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,10:15:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,25,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,10:00:00,SI,REALIZAR CAMBIO BRUSCO O INDEBIDO DE CARRIL.,CHOQUE LATERAL,URBANA,MOTOCICLETA,PARTICULAR,24,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,10:10:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ATROPELLOS,URBANA,NO IDENTIFICADO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,09:31:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,33,MUJER,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,09:07:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,39,MUJER,FALLECIDO,CONDUCTOR
GUAYAS,MIERCOLES,09:25:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,NO IDENTIFICADO,PARTICULAR,41,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,09:25:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",CHOQUE POSTERIOR,URBANA,AUTOMOVIL,PARTICULAR,39,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,09:45:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,VOLCAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,29,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,13:27:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,25,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,07:09:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ESTRELLAMIENTOS,URBANA,BUS,PUBLICO,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,15:30:00,SI,NO GUARDAR LA DISTANCIA LATERAL MINIMA DE SEGURIDAD ENTRE VEHICULOS.,ROZAMIENTOS,URBANA,AUTOMOVIL,PARTICULAR,-1,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,15:45:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,12:30:00,SI,NO GUARDAR LA DISTANCIA LATERAL MINIMA DE SEGURIDAD ENTRE VEHICULOS.,ROZAMIENTOS,URBANA,MOTOCICLETA,PARTICULAR,36,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,17:15:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,06:38:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,18:50:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,CAIDA DE PASAJERO,URBANA,BUS,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,16:50:00,SI,"NO RESPETAR LAS SENALES REGLAMENTARIAS DE TRANSITO. (PARE, CEDA EL PASO, LUZ ROJA DEL SEMAFORO, ETC).",CHOQUE LATERAL,URBANA,AUTOMOVIL,PARTICULAR,48,HOMBRE,ILESO,CONDUCTOR
GUAYAS,MIERCOLES,19:15:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
GUAYAS,MIERCOLES,17:00:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,30,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,20:20:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,ATROPELLOS,URBANA,MOTOCICLETA,PARTICULAR,-1,HOMBRE,LESIONADO,CONDUCTOR
GUAYAS,MIERCOLES,22:30:00,SI,CONDUCIR VEHICULO SUPERANDO LOS LIMITES MAXIMOS DE VELOCIDAD.,PERDIDA DE CARRIL,URBANA,MOTOCICLETA,PARTICULAR,-1,HOMBRE,LESIONADO,CONDUCTOR
TUNGURAHUA,MIERCOLES,02:20:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,RURAL,AUTOMOVIL,PARTICULAR,-1,MUJER,LESIONADO,PASAJERO
LOJA,MIERCOLES,07:00:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",PERDIDA DE CARRIL,URBANA,AUTOMOVIL,PARTICULAR,-1,HOMBRE,NO IDENTIFICADO,CONDUCTOR
ESMERALDAS,MIERCOLES,09:30:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ATROPELLOS,RURAL,AUTOMOVIL,PARTICULAR,-1,MUJER,LESIONADO,PEATON
MORONA SANTIAGO,MIERCOLES,14:45:00,SI,"CONDUCIR DESATENTO A LAS CONDICIONES DE TRANSITO (CELULAR, PANTALLAS DE VIDEO, COMIDA, MAQUILLAJE O CUALQUIER OTRO ELEMENTO DISTRACTOR).",ESTRELLAMIENTOS,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,-1,NO IDENTIFICADO,NO IDENTIFICADO,CONDUCTOR
MANABI,MIERCOLES,06:15:00,SI,"CONDUCE BAJO LA INFLUENCIA DE ALCOHOL, SUSTANCIAS ESTUPEFACIENTES O PSICOTROPICAS Y/O MEDICAMENTOS.",PERDIDA DE CARRIL,RURAL,VEHICULO DEPORTIVO UTILITARIO,PARTICULAR,53,HOMBRE,FALLECIDO,CONDUCTOR
